Tiempo(ms),Distancia(cm)
514,14.212000846862793
515,14.212000846862793
516,14.212000846862793
517,14.212000846862793
518,14.212000846862793
519,14.212000846862793
520,14.212000846862793
521,14.212000846862793
522,14.212000846862793
523,14.212000846862793
524,14.212000846862793
525,14.212000846862793
526,14.212000846862793
527,14.212000846862793
528,14.212000846862793
529,14.212000846862793
530,14.212000846862793
531,13.702000617980957
532,13.702000617980957
533,13.702000617980957
534,13.702000617980957
535,13.702000617980957
536,13.702000617980957
537,13.702000617980957
538,13.702000617980957
539,13.702000617980957
540,13.702000617980957
541,13.702000617980957
542,13.702000617980957
543,13.702000617980957
544,13.702000617980957
545,13.702000617980957
546,13.702000617980957
547,13.702000617980957
548,13.702000617980957
549,13.702000617980957
550,13.702000617980957
551,14.756000518798828
552,14.756000518798828
553,14.756000518798828
554,14.756000518798828
555,14.756000518798828
556,14.756000518798828
557,14.756000518798828
558,14.756000518798828
559,14.756000518798828
560,14.756000518798828
561,14.756000518798828
562,14.756000518798828
563,14.756000518798828
564,14.756000518798828
565,14.756000518798828
566,14.756000518798828
567,14.756000518798828
568,14.756000518798828
569,14.756000518798828
570,14.756000518798828
571,16.541000366210938
572,16.541000366210938
573,16.541000366210938
574,16.541000366210938
575,16.541000366210938
576,16.541000366210938
577,16.541000366210938
578,16.541000366210938
579,16.541000366210938
580,16.541000366210938
581,16.541000366210938
582,16.541000366210938
583,16.541000366210938
584,16.541000366210938
585,16.541000366210938
586,16.541000366210938
587,16.541000366210938
588,16.541000366210938
589,16.541000366210938
590,16.541000366210938
591,18.17300033569336
592,18.17300033569336
593,18.17300033569336
594,18.17300033569336
595,18.17300033569336
596,18.17300033569336
597,18.17300033569336
598,18.17300033569336
599,18.17300033569336
600,18.17300033569336
601,18.17300033569336
602,18.17300033569336
603,18.17300033569336
604,18.17300033569336
605,18.17300033569336
606,18.17300033569336
607,18.17300033569336
608,18.17300033569336
609,18.17300033569336
610,18.17300033569336
611,19.34600067138672
612,19.34600067138672
613,19.34600067138672
614,19.34600067138672
615,19.34600067138672
616,19.34600067138672
617,19.34600067138672
618,19.34600067138672
619,19.34600067138672
620,19.34600067138672
621,19.34600067138672
622,19.34600067138672
623,19.34600067138672
624,19.34600067138672
625,19.34600067138672
626,19.34600067138672
627,19.34600067138672
628,19.34600067138672
629,19.34600067138672
630,19.34600067138672
631,19.34600067138672
632,18.411001205444336
633,18.411001205444336
634,18.411001205444336
635,18.411001205444336
636,18.411001205444336
637,18.411001205444336
638,18.411001205444336
639,18.411001205444336
640,18.411001205444336
641,18.411001205444336
642,18.411001205444336
643,18.411001205444336
644,18.411001205444336
645,18.411001205444336
646,18.411001205444336
647,18.411001205444336
648,18.411001205444336
649,18.411001205444336
650,18.411001205444336
651,18.411001205444336
652,16.898000717163086
653,16.898000717163086
654,16.898000717163086
655,16.898000717163086
656,16.898000717163086
657,16.898000717163086
658,16.898000717163086
659,16.898000717163086
660,16.898000717163086
661,16.898000717163086
662,16.898000717163086
663,16.898000717163086
664,16.898000717163086
665,16.898000717163086
666,16.898000717163086
667,16.898000717163086
668,16.898000717163086
669,16.898000717163086
670,16.898000717163086
671,16.898000717163086
672,15.113000869750977
673,15.113000869750977
674,15.113000869750977
675,15.113000869750977
676,15.113000869750977
677,15.113000869750977
678,15.113000869750977
679,15.113000869750977
680,15.113000869750977
681,15.113000869750977
682,15.113000869750977
683,15.113000869750977
684,15.113000869750977
685,15.113000869750977
686,15.113000869750977
687,15.113000869750977
688,15.113000869750977
689,15.113000869750977
690,15.113000869750977
691,15.113000869750977
692,14.297000885009766
693,14.297000885009766
694,14.297000885009766
695,14.297000885009766
696,14.297000885009766
697,14.297000885009766
698,14.297000885009766
699,14.297000885009766
700,14.297000885009766
701,14.297000885009766
702,14.297000885009766
703,14.297000885009766
704,14.297000885009766
705,14.297000885009766
706,14.297000885009766
707,14.297000885009766
708,14.297000885009766
709,14.297000885009766
710,14.297000885009766
711,14.297000885009766
712,14.144001007080078
713,14.144001007080078
714,14.144001007080078
715,14.144001007080078
716,14.144001007080078
717,14.144001007080078
718,14.144001007080078
719,14.144001007080078
720,14.144001007080078
721,14.144001007080078
722,14.144001007080078
723,14.144001007080078
724,14.144001007080078
725,14.144001007080078
726,14.144001007080078
727,14.144001007080078
728,14.144001007080078
729,14.144001007080078
730,14.144001007080078
731,14.144001007080078
732,15.19800090789795
733,15.19800090789795
734,15.19800090789795
735,15.19800090789795
736,15.19800090789795
737,15.19800090789795
738,15.19800090789795
739,15.19800090789795
740,15.19800090789795
741,15.19800090789795
742,15.19800090789795
743,15.19800090789795
744,15.19800090789795
745,15.19800090789795
746,15.19800090789795
747,15.19800090789795
748,15.19800090789795
749,15.19800090789795
750,15.19800090789795
751,15.19800090789795
752,17.306001663208008
753,17.306001663208008
754,17.306001663208008
755,17.306001663208008
756,17.306001663208008
757,17.306001663208008
758,17.306001663208008
759,17.306001663208008
760,17.306001663208008
761,17.306001663208008
762,17.306001663208008
763,17.306001663208008
764,17.306001663208008
765,17.306001663208008
766,17.306001663208008
767,17.306001663208008
768,17.306001663208008
769,17.306001663208008
770,17.306001663208008
771,17.306001663208008
772,18.93800163269043
773,18.93800163269043
774,18.93800163269043
775,18.93800163269043
776,18.93800163269043
777,18.93800163269043
778,18.93800163269043
779,18.93800163269043
780,18.93800163269043
781,18.93800163269043
782,18.93800163269043
783,18.93800163269043
784,18.93800163269043
785,18.93800163269043
786,18.93800163269043
787,18.93800163269043
788,18.93800163269043
789,18.93800163269043
790,18.93800163269043
791,18.93800163269043
792,19.652000427246094
793,19.652000427246094
794,19.652000427246094
795,19.652000427246094
796,19.652000427246094
797,19.652000427246094
798,19.652000427246094
799,19.652000427246094
800,19.652000427246094
801,19.652000427246094
802,19.652000427246094
803,19.652000427246094
804,19.652000427246094
805,19.652000427246094
806,19.652000427246094
807,19.652000427246094
808,19.652000427246094
809,19.652000427246094
810,19.652000427246094
811,19.652000427246094
812,19.652000427246094
813,19.652000427246094
814,19.652000427246094
815,19.652000427246094
816,19.652000427246094
817,19.652000427246094
818,19.652000427246094
819,19.652000427246094
820,19.652000427246094
821,19.652000427246094
822,19.652000427246094
823,19.652000427246094
824,19.652000427246094
825,19.652000427246094
826,19.652000427246094
827,19.652000427246094
828,19.652000427246094
829,19.652000427246094
830,19.652000427246094
831,19.652000427246094
832,19.652000427246094
833,19.652000427246094
834,19.652000427246094
835,19.652000427246094
836,19.652000427246094
837,19.652000427246094
838,19.652000427246094
839,19.652000427246094
840,19.652000427246094
841,19.652000427246094
842,19.652000427246094
843,19.652000427246094
844,19.652000427246094
845,19.652000427246094
846,19.652000427246094
847,19.652000427246094
848,19.652000427246094
849,19.652000427246094
850,19.652000427246094
851,19.652000427246094
852,19.652000427246094
853,19.652000427246094
854,19.652000427246094
855,19.652000427246094
856,19.652000427246094
857,19.652000427246094
858,19.652000427246094
859,19.652000427246094
860,19.652000427246094
861,19.652000427246094
